# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5153 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775643281e-05       4.644241583192e+01 
       2.335822474937e-05       1.004318405529e+02 
       3.625389040499e-05       1.535296214265e+02 
       4.922928651888e-05       2.062843976793e+02 
       6.231951663650e-05       2.590120423431e+02 
       7.556056626414e-05       3.119512799614e+02 
       8.898962434547e-05       3.653074847542e+02 
       1.026454189362e-04       4.192706999861e+02 
       1.165685713654e-04       4.740249129790e+02 
       1.308019732065e-04       5.297536946964e+02 
       1.453911903857e-04       5.866441512038e+02 
       1.603848987003e-04       6.448900020178e+02 
       1.758353548451e-04       7.046942458536e+02 
       1.917989066864e-04       7.662715837781e+02 
       2.083365458814e-04       8.298507788156e+02 
       2.255145048950e-04       8.956769703939e+02 
       2.434048988421e-04       9.640140194030e+02 
       2.620864101790e-04       1.035146882019e+03 
       2.816450108084e-04       1.109383979517e+03 
       3.021747113342e-04       1.187059560162e+03 
       3.237783206306e-04       1.268535947331e+03 
       3.465681901835e-04       1.354205592982e+03 
       3.706669064485e-04       1.444492772816e+03 
       3.962078804917e-04       1.539854728666e+03 
       4.233357674478e-04       1.640781989534e+03 
       4.522066293369e-04       1.747797548304e+03 
       4.829877348098e-04       1.861454500259e+03 
       5.158568708836e-04       1.982331708067e+03 
       5.510010286148e-04       2.111027003584e+03 
       5.886143226059e-04       2.248147495316e+03 
       6.288950204107e-04       2.394296628790e+03 
       6.720416000720e-04       2.550057833492e+03 
       7.182478286549e-04       2.715974907389e+03 
       7.676969638083e-04       2.892529693385e+03 
       8.205553181619e-04       3.080118230594e+03 
       8.769655757080e-04       3.279026856060e+03 
       9.370403816752e-04       3.489410415541e+03 
       1.000856806946e-03       3.711274825028e+03 
       1.068452281323e-03       3.944466074482e+03 
       1.139822478573e-03       4.188667409412e+03 
       1.214921427739e-03       4.443405241555e+03 
       1.293663856233e-03       4.708063869973e+03 
       1.375929496806e-03       4.981866365086e+03 
       1.461568871522e-03       5.264016243477e+03 
       1.550409942814e-03       5.553621022789e+03 
       1.642265007844e-03       5.849748982816e+03 
       1.736937292145e-03       6.151458583103e+03 
       1.834226837770e-03       6.457821192991e+03 
       1.933935441037e-03       6.767939504485e+03 
       2.035870543248e-03       7.080961539422e+03 
       2.139848094759e-03       7.396089956592e+03 
       2.245694491425e-03       7.712588680834e+03 
       2.353247725050e-03       8.029784389393e+03 
       2.462357903579e-03       8.347067413979e+03 
       2.572887291211e-03       8.663890577669e+03 
       2.684710001709e-03       8.979763760977e+03 
       2.797711456217e-03       9.294253651013e+03 
       2.911787694099e-03       9.606976271139e+03 
       3.026844604320e-03       9.917594668614e+03 
       3.142797126833e-03       1.022581445701e+04 
       3.259568458766e-03       1.053137736308e+04 
       3.377089288660e-03       1.083406132775e+04 
       3.495297073339e-03       1.113367125993e+04 
       3.614135365609e-03       1.143004130403e+04 
       3.733553196455e-03       1.172302995691e+04 
       3.853504512271e-03       1.201251485174e+04 
       3.973947665634e-03       1.229839299717e+04 
       4.094844956841e-03       1.258058109342e+04 
       4.216162222696e-03       1.285900789404e+04 
       4.337868468703e-03       1.313361217982e+04 
       4.459935540738e-03       1.340435139682e+04 
       4.582337832368e-03       1.367118656631e+04 
       4.705052024144e-03       1.393409220512e+04 
       4.828056851507e-03       1.419304234993e+04 
       4.951332898154e-03       1.444802098752e+04 
       5.074862412069e-03       1.464751660517e+04 
       5.198629141634e-03       1.489246348112e+04 
       5.322618189575e-03       1.513343455211e+04 
       5.446815882682e-03       1.537041385689e+04 
       5.571209655510e-03       1.560342084142e+04 
       5.695787946468e-03       1.583247412023e+04 
       5.820540104863e-03       1.605758536797e+04 
       5.945456307677e-03       1.627877811968e+04 
       6.070527484949e-03       1.649607906580e+04 
       6.195745252818e-03       1.670950810023e+04 
       6.321101853346e-03       1.691909030824e+04 
       6.446590100388e-03       1.712485736457e+04 
       6.572203330827e-03       1.732683105048e+04 
       6.697935360599e-03       1.752504956790e+04 
       6.823780444985e-03       1.771954412497e+04 
       6.949733242704e-03       1.791034393774e+04 
       7.075788783422e-03       1.809747860618e+04 
       7.201942438296e-03       1.828098679838e+04 
       7.328189893256e-03       1.846089342012e+04 
       7.454527124726e-03       1.863723690861e+04 
       7.580950377549e-03       1.881006232672e+04 
       7.707456144882e-03       1.897939419016e+04 
       7.834041149874e-03       1.914526770590e+04 
       7.960702328945e-03       1.930771554818e+04 
       8.087436816510e-03       1.946677602883e+04 
       8.214241931010e-03       1.962247668317e+04 
       8.341115162128e-03       1.977486758226e+04 
       8.468054159065e-03       1.992397906675e+04 
       8.595056719799e-03       2.006984431420e+04 
       8.722120781210e-03       2.021249520282e+04 
       8.849244410019e-03       2.035196602292e+04 
       8.976425794438e-03       2.048829547352e+04 
       9.103663236498e-03       2.062151474090e+04 
       9.230955144972e-03       2.075166039989e+04 
       9.358300028845e-03       2.087876556399e+04 
       9.485696491300e-03       2.100286217269e+04 
       9.613143224151e-03       2.112398316649e+04 
       9.740639002703e-03       2.124216733681e+04 
       9.868182681002e-03       2.135743565697e+04 
       9.995773187431e-03       2.146983201771e+04 
       1.012340952064e-02       2.157938090148e+04 
       1.025109074575e-02       2.168611618009e+04 
       1.037881599088e-02       2.179007073634e+04 
       1.050658444389e-02       2.189127790081e+04 
       1.063439534935e-02       2.198975765301e+04 
       1.076224800577e-02       2.208555898619e+04 
       1.089014176296e-02       2.217870260193e+04 
       1.101807601964e-02       2.226921332425e+04 
       1.114605022121e-02       2.235713408716e+04 
       1.127406385763e-02       2.244248832796e+04 
       1.140211646147e-02       2.252530571355e+04 
       1.153020760616e-02       2.260561589113e+04 
