# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5429 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775698497e-05       4.655516791880e+01 
       2.336265735512e-05       1.006941049695e+02 
       3.626279214505e-05       1.539388335237e+02 
       4.924273030251e-05       2.068397162804e+02 
       6.233761209929e-05       2.597136321658e+02 
       7.558346120605e-05       3.128000724733e+02 
       8.901750673184e-05       3.663050915576e+02 
       1.026785194946e-04       4.204193702191e+02 
       1.166071668215e-04       4.753275254156e+02 
       1.308463902122e-04       5.312137660295e+02 
       1.454418102036e-04       5.882658560551e+02 
       1.604421627175e-04       6.466782110362e+02 
       1.758997709988e-04       7.066545644792e+02 
       1.918710568907e-04       7.684104096152e+02 
       2.084170945494e-04       8.321753563046e+02 
       2.256042086492e-04       8.981954713685e+02 
       2.435046174996e-04       9.667356197826e+02 
       2.621971190796e-04       1.038081854008e+03 
       2.817678145209e-04       1.112543792844e+03 
       3.023108587233e-04       1.190456994947e+03 
       3.239292211848e-04       1.272185208189e+03 
       3.467354313868e-04       1.358122438118e+03 
       3.708522718154e-04       1.448694642421e+03 
       3.964133676654e-04       1.544360873876e+03 
       4.235636054818e-04       1.645613600952e+03 
       4.524592939361e-04       1.752977860159e+03 
       4.832679599142e-04       1.867008880898e+03 
       5.161676545534e-04       1.988287708986e+03 
       5.513456307909e-04       2.117414361079e+03 
       5.889962520424e-04       2.254998066131e+03 
       6.293180080388e-04       2.401644237058e+03 
       6.725095563975e-04       2.557938019324e+03 
       7.187647836511e-04       2.724424563784e+03 
       7.682669892367e-04       2.901586605598e+03 
       8.211824343049e-04       3.089820479494e+03 
       8.776536469331e-04       3.289412152962e+03 
       9.377930076596e-04       3.500515399116e+03 
       1.001677218236e-03       3.723134299768e+03 
       1.069343248607e-03       3.957112344260e+03 
       1.140786244219e-03       4.202129665813e+03 
       1.215959665816e-03       4.457709141051e+03 
       1.294777663727e-03       4.723231200076e+03 
       1.377119414891e-03       4.997912074545e+03 
       1.462834932326e-03       5.280956392027e+03 
       1.551751734806e-03       5.571465589429e+03 
       1.643681752040e-03       5.868504378729e+03 
       1.738427921699e-03       6.171128014145e+03 
       1.835790074825e-03       6.478405011288e+03 
       1.935569866455e-03       6.789435566269e+03 
       2.037574656652e-03       7.103365539490e+03 
       2.141620363858e-03       7.419395847364e+03 
       2.247533390753e-03       7.736788821235e+03 
       2.355151765031e-03       8.054869941307e+03 
       2.464325651214e-03       8.373028517577e+03 
       2.574917383831e-03       8.690716419611e+03 
       2.686801155223e-03       9.007443243161e+03 
       2.799862469112e-03       9.322774727612e+03 
       2.913997448298e-03       9.636326605746e+03 
       3.029112063783e-03       9.947761414377e+03 
       3.145121334621e-03       1.025678506400e+04 
       3.261948533107e-03       1.056313845162e+04 
       3.379524418434e-03       1.086659962482e+04 
       3.497786513285e-03       1.116697334454e+04 
       3.616678431470e-03       1.146409405970e+04 
       3.736149260204e-03       1.175781913902e+04 
       3.856152997522e-03       1.204802731145e+04 
       3.976648043300e-03       1.233461615358e+04 
       4.097596741068e-03       1.261750020636e+04 
       4.218964967093e-03       1.289660935820e+04 
       4.340721762865e-03       1.317188385702e+04 
       4.462839007065e-03       1.344327876186e+04 
       4.585291123149e-03       1.371075705280e+04 
       4.708054818912e-03       1.397429007810e+04 
       4.831108854627e-03       1.423385991879e+04 
       4.954433836643e-03       1.448944296813e+04 
       5.078012033610e-03       1.474106325985e+04 
       5.201827212786e-03       1.498869001615e+04 
       5.325864494148e-03       1.523235520300e+04 
