# Matter power spectrum P(k) at redshift z=0
# for k=1.82301e-05 to 35.9845 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.823013203820e-05       7.151801577385e+02 
       3.110359248551e-05       3.779663427639e+02 
       4.404282912748e-05       3.344970516269e+02 
       5.708261041224e-05       3.452307790002e+02 
       7.025845853408e-05       3.745113787438e+02 
       8.360696514828e-05       4.125096714509e+02 
       9.716611950933e-05       4.555605303208e+02 
       1.109756532820e-04       5.020514497876e+02 
       1.250774063100e-04       5.512130907862e+02 
       1.395157176483e-04       6.026777301088e+02 
       1.543378461406e-04       6.562922820920e+02 
       1.695944247037e-04       7.120302888982e+02 
       1.853399522107e-04       7.699472274449e+02 
       2.016333263558e-04       8.301566441121e+02 
       2.185384200265e-04       8.928170675232e+02 
       2.361247023528e-04       9.581248616583e+02 
       2.544679035680e-04       1.026310538326e+03 
       2.736507198409e-04       1.097637141344e+03 
       2.937635500546e-04       1.172399909317e+03 
       3.149052507394e-04       1.250926686018e+03 
       3.371838876515e-04       1.333578748402e+03 
       3.607174524258e-04       1.420751688983e+03 
       3.856345000128e-04       1.512876109875e+03 
       4.120746471055e-04       1.610417793251e+03 
       4.401888537378e-04       1.713876998785e+03 
       4.701393905827e-04       1.823786507203e+03 
       5.020993750954e-04       1.940707946598e+03 
       5.362517437718e-04       2.065225921577e+03 
       5.727875203046e-04       2.197939499978e+03 
       6.119032468608e-04       2.339450595092e+03 
       6.537974756942e-04       2.490349027778e+03 
       6.986662781100e-04       2.651194254867e+03 
       7.466978217648e-04       2.822494129590e+03 
       7.980661933684e-04       3.004681532507e+03 
       8.529247901251e-04       3.198090344814e+03 
       9.113997460966e-04       3.402932518579e+03 
       9.735839657845e-04       3.619278470716e+03 
       1.039532370969e-03       3.847043169275e+03 
       1.109258901924e-03       4.085979527425e+03 
       1.182735646083e-03       4.335680553172e+03 
       1.259894220061e-03       4.595590198843e+03 
       1.340629253822e-03       4.865000432214e+03 
       1.424803578122e-03       5.143116696507e+03 
       1.512254549061e-03       5.429089732969e+03 
       1.602800882617e-03       5.722001213162e+03 
       1.696249413819e-03       6.020911809361e+03 
       1.792401312293e-03       6.324885718882e+03 
       1.891057440271e-03       6.633010921252e+03 
       1.992022694691e-03       6.944414820954e+03 
       2.095109306618e-03       7.258275904541e+03 
       2.200139166395e-03       7.573831177510e+03 
       2.306945300485e-03       7.890379962893e+03 
       2.415372651530e-03       8.207285411686e+03 
       2.525278315245e-03       8.523972912145e+03 
       2.636531375168e-03       8.839928129194e+03 
       2.749012456026e-03       9.154692863821e+03 
       2.862613093851e-03       9.467862245125e+03 
       2.977234999060e-03       9.779079688497e+03 
       3.092789269406e-03       1.008803114672e+04 
       3.209195593596e-03       1.039444377695e+04 
       3.326381473512e-03       1.069807947608e+04 
       3.444281483168e-03       1.099873162332e+04 
       3.562836575180e-03       1.129622206636e+04 
       3.681993440254e-03       1.159039846872e+04 
       3.801703921501e-03       1.188112894319e+04 
       3.921924482932e-03       1.216830547211e+04 
       4.042615729838e-03       1.245183150357e+04 
       4.163741977890e-03       1.273163352890e+04 
       4.285270867210e-03       1.300764478188e+04 
       4.407173017554e-03       1.327981491398e+04 
       4.529421720704e-03       1.354810258562e+04 
       4.651992666370e-03       1.381247751847e+04 
       4.774863698083e-03       1.407291535899e+04 
       4.898014595859e-03       1.432939149016e+04 
       5.021426882682e-03       1.458191416387e+04 
       5.145083652151e-03       1.483047669282e+04 
       5.268969414893e-03       1.507507498676e+04 
       5.393069961598e-03       1.531571811458e+04 
       5.517372240805e-03       1.555241501994e+04 
       5.641864249727e-03       1.578516676921e+04 
       5.766534936633e-03       1.601400024474e+04 
       5.891374113485e-03       1.623892656467e+04 
       6.016372377644e-03       1.645997539966e+04 
       6.141521041644e-03       1.667716315959e+04 
       6.266812070106e-03       1.689051170684e+04 
       6.392238023024e-03       1.710005195502e+04 
       6.517792004690e-03       1.730580593222e+04 
       6.643467617665e-03       1.750780299240e+04 
       6.769258921225e-03       1.770607962432e+04 
       6.895160393823e-03       1.790066157208e+04 
       7.021166899119e-03       1.809157480637e+04 
       7.147273655212e-03       1.827885901903e+04 
       7.273476206735e-03       1.846254231726e+04 
       7.399770399516e-03       1.864265067017e+04 
       7.526152357549e-03       1.881923380512e+04 
       7.652618462032e-03       1.899231715063e+04 
       7.779165332265e-03       1.916192940433e+04 
       7.905789808232e-03       1.932811156309e+04 
       8.032488934696e-03       1.949089583587e+04 
       8.159259946656e-03       1.965030629871e+04 
       8.286100256044e-03       1.980637825883e+04 
       8.413007439536e-03       1.995917120217e+04 
       8.539979227382e-03       2.010870199078e+04 
       8.667013493146e-03       2.025499973305e+04 
       8.794108244291e-03       2.039810276086e+04 
       8.921261613511e-03       2.053804130714e+04 
       9.048471850765e-03       2.067485457537e+04 
       9.175737315932e-03       2.080857167052e+04 
       9.303056472043e-03       2.093922957566e+04 
       9.430427879036e-03       2.106685964373e+04 
       9.557850187992e-03       2.119149169235e+04 
       9.685322135806e-03       2.131315865665e+04 
       9.812842540261e-03       2.143189756648e+04 
       9.940410295472e-03       2.154773226053e+04 
