# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5153 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775643281e-05       4.873177417846e+01 
       2.335822474937e-05       1.049625064734e+02 
       3.625389040499e-05       1.601033341822e+02 
       4.922928651888e-05       2.147881087472e+02 
       6.231951663650e-05       2.693716002633e+02 
       7.556056626414e-05       3.241158475277e+02 
       8.898962434547e-05       3.792423630461e+02 
       1.026454189362e-04       4.349534560517e+02 
       1.165685713654e-04       4.914430867592e+02 
       1.308019732065e-04       5.489033649766e+02 
       1.453911903857e-04       6.075290160664e+02 
       1.603848987003e-04       6.675207907962e+02 
       1.758353548451e-04       7.290883598342e+02 
       1.917989066864e-04       7.924529022331e+02 
       2.083365458814e-04       8.578495917952e+02 
       2.255145048950e-04       9.255300111783e+02 
       2.434048988421e-04       9.957645787608e+02 
       2.620864101790e-04       1.068844990552e+03 
       2.816450108084e-04       1.145086646139e+03 
       3.021747113342e-04       1.224831056740e+03 
       3.237783206306e-04       1.308448127789e+03 
       3.465681901835e-04       1.396338234338e+03 
       3.706669064485e-04       1.488933922360e+03 
       3.962078804917e-04       1.586701037833e+03 
       4.233357674478e-04       1.690139009842e+03 
       4.522066293369e-04       1.799779958945e+03 
       4.829877348098e-04       1.916186230247e+03 
       5.158568708836e-04       2.039945909343e+03 
       5.510010286148e-04       2.171665824845e+03 
       5.886143226059e-04       2.311961602718e+03 
       6.288950204107e-04       2.461444419069e+03 
       6.720416000720e-04       2.620704289715e+03 
       7.182478286549e-04       2.790290059729e+03 
       7.676969638083e-04       2.970686667639e+03 
       8.205553181619e-04       3.162290899665e+03 
       8.769655757080e-04       3.365387143232e+03 
       9.370403816752e-04       3.580125342598e+03 
       1.000856806946e-03       3.806503436751e+03 
       1.068452281323e-03       4.044356399645e+03 
       1.139822478573e-03       4.293353634856e+03 
       1.214921427739e-03       4.553005263407e+03 
       1.293663856233e-03       4.822677367300e+03 
       1.375929496806e-03       5.101572502642e+03 
       1.461568871522e-03       5.388874811310e+03 
       1.550409942814e-03       5.683671616772e+03 
       1.642265007844e-03       5.985011437718e+03 
       1.736937292145e-03       6.291933935517e+03 
       1.834226837770e-03       6.603492988057e+03 
       1.933935441037e-03       6.918775335648e+03 
       2.035870543248e-03       7.236914721974e+03 
       2.139848094759e-03       7.557101239504e+03 
       2.245694491425e-03       7.878587952743e+03 
       2.353247725050e-03       8.200692284656e+03 
       2.462357903579e-03       8.522796826141e+03 
       2.572887291211e-03       8.844348054248e+03 
       2.684710001709e-03       9.164850707811e+03 
       2.797711456217e-03       9.483867470503e+03 
       2.911787694099e-03       9.801011297678e+03 
       3.026844604320e-03       1.011594302008e+04 
       3.142797126833e-03       1.042836676722e+04 
       3.259568458766e-03       1.073802336450e+04 
       3.377089288660e-03       1.104469042119e+04 
       3.495297073339e-03       1.134817289222e+04 
       3.614135365609e-03       1.164830538412e+04 
       3.733553196455e-03       1.194494717254e+04 
       3.853504512271e-03       1.223797688553e+04 
       3.973947665634e-03       1.252729274809e+04 
       4.094844956841e-03       1.281281290433e+04 
       4.216162222696e-03       1.309446763890e+04 
       4.337868468703e-03       1.337219731853e+04 
       4.459935540738e-03       1.364596119105e+04 
       4.582337832368e-03       1.391572202374e+04 
       4.705052024144e-03       1.418145620809e+04 
       4.828056851507e-03       1.444313953865e+04 
       4.951332898154e-03       1.470075783505e+04 
       5.074862412069e-03       1.495433537560e+04 
       5.198629141634e-03       1.520384188466e+04 
       5.322618189575e-03       1.544931028732e+04 
