# Matter power spectrum P(k) at redshift z=0
# for k=1.0511e-05 to 35.6688 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051102208999e-05       4.804227529920e+01 
       2.342178285704e-05       1.041331692197e+02 
       3.637825575885e-05       1.592964789786e+02 
       4.941546349818e-05       2.141050213546e+02 
       6.256901159191e-05       2.688886957028e+02 
       7.587540732099e-05       3.238970178046e+02 
       8.937238893589e-05       3.793448458048e+02 
       1.030992695142e-04       4.354311614343e+02 
       1.170972999006e-04       4.923487553483e+02 
       1.314100551934e-04       5.502901218518e+02 
       1.460838492465e-04       6.094515933498e+02 
       1.611681815930e-04       6.700365825188e+02 
       1.767162210115e-04       7.322583717805e+02 
       1.927853295719e-04       7.963426836628e+02 
       2.094376303177e-04       8.625301548448e+02 
       2.267406206285e-04       9.310787944702e+02 
       2.447678315867e-04       1.002266459149e+03 
       2.635995311195e-04       1.076393349419e+03 
       2.833234650215e-04       1.153784524034e+03 
       3.040356248457e-04       1.234792365942e+03 
       3.258410246881e-04       1.319798963899e+03 
       3.488544596783e-04       1.409218214443e+03 
       3.732012071345e-04       1.503497584151e+03 
       3.990176165985e-04       1.603119212159e+03 
       4.264515173816e-04       1.708600133718e+03 
       4.556623523925e-04       1.820491242947e+03 
       4.868209263418e-04       1.939374548874e+03 
       5.201086375977e-04       2.065858311843e+03 
       5.557160503217e-04       2.200569472265e+03 
       5.938406631387e-04       2.344142970088e+03 
       6.346837501330e-04       2.497207588156e+03 
       6.784461974883e-04       2.660368137426e+03 
       7.253233410018e-04       2.834184259076e+03 
       7.754989273062e-04       3.019146519998e+03 
       8.291384673537e-04       3.215651011518e+03 
       8.863824050316e-04       3.423974310294e+03 
       9.473396553858e-04       3.644250997719e+03 
       1.012082138005e-03       3.876456169105e+03 
       1.080640908157e-03       4.120395191062e+03 
       1.153004355662e-03       4.375702299136e+03 
       1.229118712074e-03       4.641848589611e+03 
       1.308890822810e-03       4.918159095783e+03 
       1.392192863160e-03       5.203805168706e+03 
       1.478868465167e-03       5.497915075927e+03 
       1.568739615108e-03       5.799546256386e+03 
       1.661613686729e-03       6.107714269526e+03 
       1.757290072721e-03       6.421429934444e+03 
       1.855566028413e-03       6.739722532261e+03 
       1.956241507295e-03       7.061658317032e+03 
       2.059122916347e-03       7.386354331069e+03 
       2.164025832448e-03       7.712987408673e+03 
       2.270776794382e-03       8.040799979817e+03 
       2.379214321996e-03       8.369101687801e+03 
       2.489189323427e-03       8.697269303938e+03 
       2.600565042222e-03       9.024744335180e+03 
       2.713216676967e-03       9.351028898990e+03 
       2.827030782722e-03       9.675683759325e+03 
       2.941904540182e-03       9.998320651526e+03 
       3.057744957399e-03       1.031859974614e+04 
       3.174468051016e-03       1.063622544827e+04 
       3.291998039594e-03       1.095093901881e+04 
       3.410266570468e-03       1.126251915653e+04 
       3.529211993222e-03       1.157077073218e+04 
       3.648778686834e-03       1.187553054301e+04 
