# Matter power spectrum P(k) at redshift z=0
# for k=1.04814e-05 to 36.3822 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048142320160e-05       4.723082854886e+01 
       2.331086207760e-05       1.021840709047e+02 
       3.618525287163e-05       1.562285513347e+02 
       4.913895865247e-05       2.099225341457e+02 
       6.220690805452e-05       2.635871538136e+02 
       7.542490425023e-05       3.174649411008e+02 
       8.882994374909e-05       3.717644348479e+02 
       1.024605492312e-04       4.266785260282e+02 
       1.163571206562e-04       4.823938879410e+02 
       1.305623089207e-04       5.390967105901e+02 
       1.451214163456e-04       5.969767081732e+02 
       1.600828282197e-04       6.562302519957e+02 
       1.754984794551e-04       7.170630536824e+02 
       1.914243600622e-04       7.796926338127e+02 
       2.079210625236e-04       8.443506927790e+02 
       2.250543731215e-04       9.112854634983e+02 
       2.428959076853e-04       9.807640737307e+02 
       2.615237898734e-04       1.053074939395e+03 
       2.810233667128e-04       1.128530172707e+03 
       3.014879513949e-04       1.207467950862e+03 
       3.230195768881e-04       1.290254804748e+03 
       3.457297353956e-04       1.377287693533e+03 
       3.697400676944e-04       1.468995722892e+03 
       3.951829526772e-04       1.565841327173e+03 
       4.222019309813e-04       1.668320614079e+03 
       4.509518778950e-04       1.776962573975e+03 
       4.815988210091e-04       1.892326750559e+03 
       5.143192796819e-04       2.014998931956e+03 
       5.492989901284e-04       2.145584379111e+03 
       5.867308773261e-04       2.284698150300e+03 
       6.268121499623e-04       2.432952146529e+03 
       6.697404349939e-04       2.590938728852e+03 
       7.157089405187e-04       2.759210999136e+03 
       7.649007419043e-04       2.938260365489e+03 
       8.174824210988e-04       3.128492418911e+03 
       8.735974365553e-04       3.330202752107e+03 
       9.333597336461e-04       3.543554727156e+03 
       9.968481877345e-04       3.768561593175e+03 
       1.064102470795e-03       4.005074912980e+03 
       1.135120828406e-03       4.252781227445e+03 
       1.209860052983e-03       4.511207629616e+03 
