# Matter power spectrum P(k) at redshift z=0
# for k=1.05046e-05 to 37.3864 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050459426649e-05       4.492259354005e+01 
       2.329761925606e-05       9.693004194928e+01 
       3.613535438444e-05       1.480797082479e+02 
       4.905187059943e-05       1.988975509694e+02 
       6.208179766664e-05       2.496863491357e+02 
       7.526062876850e-05       3.006747323422e+02 
       8.862503475406e-05       3.520592291226e+02 
       1.022131921654e-04       4.040215525951e+02 
       1.160651291986e-04       4.567374946914e+02 
       1.302230937894e-04       5.103823290088e+02 
       1.447319480224e-04       5.651345831338e+02 
       1.596395930117e-04       6.211789873802e+02 
       1.749974282342e-04       6.787089957620e+02 
       1.908608489667e-04       7.379291029585e+02 
       2.072897848657e-04       7.990570677982e+02 
       2.243492817452e-04       8.623261266155e+02 
       2.421101270731e-04       9.279872000238e+02 
       2.606495174322e-04       9.963111500698e+02 
       2.800517629236e-04       1.067591035780e+03 
       3.004090189210e-04       1.142144347270e+03 
       3.218220293667e-04       1.220315169969e+03 
       3.444008575566e-04       1.302476146234e+03 
       3.682655697232e-04       1.389030136631e+03 
       3.935468234515e-04       1.480411373869e+03 
       4.203862970118e-04       1.577085862408e+03 
       4.489368775026e-04       1.679550749071e+03 
       4.793625064089e-04       1.788332280362e+03 
       5.118375630009e-04       1.903981934444e+03 
       5.465456525585e-04       2.027070294377e+03 
       5.836776629408e-04       2.158178255746e+03 
       6.234289662831e-04       2.297885149754e+03 
       6.659956800405e-04       2.446753724075e+03 
       7.115699696938e-04       2.605311912864e+03 
       7.603344768696e-04       2.774032079112e+03 
       8.124560868823e-04       2.953308480620e+03 
       8.680793939183e-04       3.143434582880e+03 
       9.273203542419e-04       3.344581960742e+03 
       9.902607040940e-04       3.556783010265e+03 
       1.056943726226e-03       3.779919419808e+03 
       1.127371856794e-03       4.013718134653e+03 
       1.201506435765e-03       4.257755552664e+03 
       1.279269649995e-03       4.511465882686e+03 
       1.360548450564e-03       4.774131061643e+03 
       1.445200002119e-03       5.045014082325e+03 
       1.533058085474e-03       5.323272663336e+03 
       1.623939843225e-03       5.608024813260e+03 
       1.717652321027e-03       5.898374268229e+03 
       1.813998384059e-03       6.193432749241e+03 
       1.912781741589e-03       6.492338109424e+03 
       2.013810959855e-03       6.794268461299e+03 
       2.116902463351e-03       7.098452016590e+03 
       2.221882608073e-03       7.404173356819e+03 
       2.328588958108e-03       7.710776860664e+03 
       2.436870915606e-03       8.017666657780e+03 
       2.546589852166e-03       8.324306255720e+03 
       2.657618875169e-03       8.630214588414e+03 
       2.769842341964e-03       8.934963905952e+03 
       2.883155212787e-03       9.238175722692e+03 
       2.997462312422e-03       9.539516211473e+03 
       3.112677552467e-03       9.838692439186e+03 
       3.228723151101e-03       1.013544787555e+04 
       3.345528875413e-03       1.042955966409e+04 
       3.463031322309e-03       1.072083314500e+04 
       3.581173247354e-03       1.100910089023e+04 
       3.699902946088e-03       1.129421963641e+04 
       3.819173689045e-03       1.157606497347e+04 
       3.938943209463e-03       1.185453263438e+04 
       4.059173241273e-03       1.212953444583e+04 
       4.179829104122e-03       1.240099809528e+04 
       4.300879331745e-03       1.266885797120e+04 
       4.422295339907e-03       1.293306992729e+04 
       4.544051130131e-03       1.319359024214e+04 
       4.666123025619e-03       1.345039155780e+04 
       4.788489436004e-03       1.370344685511e+04 
       4.911130647808e-03       1.395273150716e+04 
       5.034028637796e-03       1.414885934298e+04 
       5.157166906655e-03       1.438857770787e+04 
       5.280530330714e-03       1.462450867376e+04 
       5.404105029651e-03       1.485664319218e+04 
       5.527878248379e-03       1.508498786927e+04 
       5.651838251484e-03       1.530956102674e+04 
       5.775974228786e-03       1.553037213494e+04 
       5.900276210778e-03       1.574743398446e+04 
       6.024734992802e-03       1.596078547224e+04 
       6.149342067003e-03       1.617042903210e+04 
       6.274089561176e-03       1.637639179320e+04 
       6.398970183753e-03       1.657870180484e+04 
       6.523977174238e-03       1.677737627072e+04 
       6.649104258523e-03       1.697245106248e+04 
       6.774345608520e-03       1.716395678722e+04 
       6.899695805685e-03       1.735191473377e+04 
       7.025149807984e-03       1.753635662237e+04 
       7.150702919970e-03       1.771731496452e+04 
       7.276350765627e-03       1.789480929883e+04 
       7.402089263701e-03       1.806888224940e+04 
       7.527914605266e-03       1.823956651397e+04 
       7.653823233306e-03       1.840689542046e+04 
       7.779811824090e-03       1.857088842251e+04 
       7.905877270191e-03       1.873158927281e+04 
       8.032016664965e-03       1.888902199712e+04 
       8.158227288365e-03       1.904322395602e+04 
       8.284506593948e-03       1.919422507817e+04 
       8.410852196979e-03       1.934207072784e+04 
       8.537261863508e-03       1.948677865593e+04 
       8.663733500356e-03       1.962838348449e+04 
       8.790265145901e-03       1.976692034710e+04 
       8.916854961609e-03       1.990242167318e+04 
       9.043501224238e-03       2.003491422353e+04 
       9.170202318652e-03       2.016443827137e+04 
       9.296956731198e-03       2.029102433108e+04 
       9.423763043591e-03       2.041469593180e+04 
       9.550619927270e-03       2.053549490303e+04 
       9.677526138179e-03       2.065344262562e+04 
       9.804480511940e-03       2.076857039151e+04 
       9.931481959388e-03       2.088091321946e+04 
       1.005852946243e-02       2.099049772801e+04 
       1.018562207023e-02       2.109735613730e+04 
       1.031275889562e-02       2.120151784630e+04 
       1.043993911184e-02       2.130301142619e+04 
       1.056716194945e-02       2.140186913886e+04 
       1.069442669351e-02       2.149811327026e+04 
       1.082173268092e-02       2.159178390837e+04 
       1.094907929800e-02       2.168289364876e+04 
       1.107646597817e-02       2.177149416795e+04 
       1.120389219985e-02       2.185759661546e+04 
       1.133135748449e-02       2.194122507874e+04 
       1.145886139473e-02       2.202242893273e+04 
       1.158640353269e-02       2.210121646215e+04 
       1.171398353841e-02       2.217762569282e+04 
       1.184160108833e-02       2.225167511744e+04 
       1.196925589394e-02       2.232340932998e+04 
       1.209694770050e-02       2.239283299585e+04 
       1.222467628587e-02       2.245998248821e+04 
