# Matter power spectrum P(k) at redshift z=0
# for k=4.21926e-05 to 37.0352 h/Mpc,
# number of wavenumbers equal to 552
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.219262775278e-05       6.943415331507e+01 
       5.521591111151e-05       1.405861689733e+02 
       6.837013840375e-05       2.081317004556e+02 
       8.169172897828e-05       2.724363441529e+02 
       9.521845207224e-05       3.346612949873e+02 
       1.089897689822e-04       3.957425248511e+02 
       1.230471955801e-04       4.563746809276e+02 
       1.374346894784e-04       5.170904863499e+02 
       1.521990661347e-04       5.783188524915e+02 
       1.673904480816e-04       6.404256697176e+02 
       1.830627512247e-04       7.037400107506e+02 
       1.992742116832e-04       7.685715928143e+02 
       2.160879558453e-04       8.352228457224e+02 
       2.335726150426e-04       9.039976865833e+02 
       2.518029843129e-04       9.752082272366e+02 
       2.708607219091e-04       1.049180153430e+03 
       2.908350822078e-04       1.126257204102e+03 
       3.118236691627e-04       1.206805006583e+03 
       3.339331900258e-04       1.291214343912e+03 
       3.572801793586e-04       1.379903882205e+03 
       3.819916510268e-04       1.473322254031e+03 
       4.082056207609e-04       1.571949338769e+03 
       4.360714241650e-04       1.676296478462e+03 
       4.657497355447e-04       1.786905324848e+03 
       4.974121733432e-04       1.904344904251e+03 
       5.312403613388e-04       2.029206453832e+03 
       5.674243057107e-04       2.162095616245e+03 
       6.061599529412e-04       2.303621525073e+03 
       6.476458198212e-04       2.454382552524e+03 
       6.920786420089e-04       2.614948681712e+03 
       7.396480766216e-04       2.785840770536e+03 
       7.905306163108e-04       2.967507588001e+03 
       8.448830168310e-04       3.160301863842e+03 
       9.028356853101e-04       3.364457145555e+03 
       9.644865900184e-04       3.580067764341e+03 
       1.029896298461e-03       3.807073924359e+03 
       1.099084700667e-03       4.045254105979e+03 
       1.172029820413e-03       4.294225967504e+03 
       1.248668878733e-03       4.553455942247e+03 
       1.328901497567e-03       4.822261791885e+03 
       1.412594676093e-03       5.099852554425e+03 
       1.499588991193e-03       5.385395986925e+03 
       1.589705396967e-03       5.677980927014e+03 
       1.682752026564e-03       5.976671509838e+03 
       1.778530508180e-03       6.280531969102e+03 
       1.876841458470e-03       6.588647587757e+03 
       1.977488973856e-03       6.900141068973e+03 
       2.080284076250e-03       7.214184531488e+03 
       2.185047170401e-03       7.530008220653e+03 
       2.291609632751e-03       7.846902951569e+03 
       2.399814681325e-03       8.164224767884e+03 
       2.509517681068e-03       8.481391263788e+03 
       2.620586028043e-03       8.797880576246e+03 
       2.732898736408e-03       9.113227801640e+03 
       2.846345829520e-03       9.427021572939e+03 
       2.960827614386e-03       9.738899508098e+03 
       3.076253898941e-03       1.004854229083e+04 
       3.192543195019e-03       1.035567235345e+04 
       3.309621936622e-03       1.066004713946e+04 
       3.427423732834e-03       1.096145738964e+04 
       3.545888667076e-03       1.125971921406e+04 
       3.664962648854e-03       1.155467947938e+04 
       3.784596820250e-03       1.184620293265e+04 
       3.904747016797e-03       1.213417912314e+04 
       4.025373280650e-03       1.241851041157e+04 
       4.146439422945e-03       1.269911914659e+04 
       4.267912631705e-03       1.297593960629e+04 
       4.389763121393e-03       1.324891886505e+04 
       4.511963820231e-03       1.351801486201e+04 
       4.634490091546e-03       1.378319686730e+04 
       4.757319485587e-03       1.404443576478e+04 
       4.880431518560e-03       1.430171355062e+04 
       5.003807475886e-03       1.455502664548e+04 
       5.127430236977e-03       1.480437979102e+04 
       5.251284119111e-03       1.504975998872e+04 
       5.375354738222e-03       1.529118148803e+04 
       5.499628884685e-03       1.552864525821e+04 
       5.624094412379e-03       1.576216494522e+04 
       5.748740139507e-03       1.599175704488e+04 
       5.873555759840e-03       1.621743441249e+04 
       5.998531763202e-03       1.643923034964e+04 
       6.123659364145e-03       1.665714827521e+04 
       6.248930437901e-03       1.687122395464e+04 
       6.374337462800e-03       1.708148362692e+04 
       6.499873468434e-03       1.728795196853e+04 
       6.625531988941e-03       1.749065190253e+04 
       6.751307020846e-03       1.768962392566e+04 
       6.877192984976e-03       1.788489170975e+04 
       7.003184692005e-03       1.807648567264e+04 
       7.129277311252e-03       1.826444133544e+04 
       7.255466342384e-03       1.844878931049e+04 
       7.381747589735e-03       1.862955270223e+04 
       7.508117138955e-03       1.880678014852e+04 
       7.634571335765e-03       1.898050327563e+04 
       7.761106766611e-03       1.915074831624e+04 
       7.887720241011e-03       1.931755071837e+04 
       8.014408775439e-03       1.948094817475e+04 
       8.141169578604e-03       1.964096987100e+04 
       8.268000037974e-03       1.979764365418e+04 
       8.394897707434e-03       1.995102446329e+04 
       8.521860295978e-03       2.010113948957e+04 
       8.648885657326e-03       2.024801384098e+04 
       8.775971780389e-03       2.039168502980e+04 
       8.903116780504e-03       2.053218485241e+04 
       9.030318891368e-03       2.066955024975e+04 
       9.157576457609e-03       2.080381680674e+04 
       9.284887927940e-03       2.093501048178e+04 
       9.412251848841e-03       2.106317017652e+04 
       9.539666858728e-03       2.118833251410e+04 
       9.667131682568e-03       2.131051259758e+04 
       9.794645126894e-03       2.142976253779e+04 
       9.922206075199e-03       2.154609832712e+04 
       1.004981348367e-02       2.165956428399e+04 
       1.017746637724e-02       2.177018024158e+04 
       1.030516384590e-02       2.187798153883e+04 
